Timestamp,Serial,Action,Status,IMEI,Model,Note
2026-05-21 18:11:14,SERIAL123,TEST,OK,123456789012345,Pixel 6,
2026-05-21 18:45:29,SERIAL123,TEST,OK,123456789012345,Pixel 6,
2026-05-21 18:45:58,SERIAL123,TEST,OK,123456789012345,Pixel 6,
2026-05-21 18:49:17,SERIAL123,TEST,OK,123456789012345,Pixel 6,
2026-05-21 18:51:20,SERIAL123,TEST,OK,123456789012345,Pixel 6,
2026-05-21 18:52:18,SERIAL123,TEST,OK,123456789012345,Pixel 6,
2026-05-21 18:54:48,SERIAL123,TEST,OK,123456789012345,Pixel 6,
2026-05-21 18:55:23,SERIAL123,TEST,OK,123456789012345,Pixel 6,
2026-05-21 18:56:06,SERIAL123,TEST,OK,123456789012345,Pixel 6,
2026-05-21 18:56:56,SERIAL123,TEST,OK,123456789012345,Pixel 6,
2026-05-21 18:58:26,SERIAL123,TEST,OK,123456789012345,Pixel 6,
2026-05-21 18:59:46,SERIAL123,TEST,OK,123456789012345,Pixel 6,
2026-05-21 19:00:57,SERIAL123,TEST,OK,123456789012345,Pixel 6,
2026-05-21 19:07:36,SERIAL123,TEST,OK,123456789012345,Pixel 6,
2026-05-21 19:13:36,SERIAL123,TEST,OK,123456789012345,Pixel 6,
2026-05-21 19:17:09,SERIAL123,TEST,OK,123456789012345,Pixel 6,
2026-05-21 19:28:11,SERIAL123,TEST,OK,123456789012345,Pixel 6,
2026-05-21 22:08:28,SERIAL123,TEST,OK,123456789012345,Pixel 6,
2026-05-21 22:09:45,SERIAL123,TEST,OK,123456789012345,Pixel 6,
2026-05-22 00:55:51,SERIAL123,TEST,OK,123456789012345,Pixel 6,
